Id,source,SalePrice,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood
1,train,208500.0,GasA,Ex,2Story,1,Gd,Lvl,Gtl,8450,Inside,65.0,Reg,0,60,RL,196.0,BrkFace,,0,2,CollgCr
2,train,181500.0,GasA,Ex,1Story,1,TA,Lvl,Gtl,9600,FR2,80.0,Reg,0,20,RL,0.0,None,,0,5,Veenker
3,train,223500.0,GasA,Ex,2Story,1,Gd,Lvl,Gtl,11250,Inside,68.0,IR1,0,60,RL,162.0,BrkFace,,0,9,CollgCr
4,train,140000.0,GasA,Gd,2Story,1,Gd,Lvl,Gtl,9550,Corner,60.0,IR1,0,70,RL,0.0,None,,0,2,Crawfor
5,train,250000.0,GasA,Ex,2Story,1,Gd,Lvl,Gtl,14260,FR2,84.0,IR1,0,60,RL,350.0,BrkFace,,0,12,NoRidge
6,train,143000.0,GasA,Ex,1.5Fin,1,TA,Lvl,Gtl,14115,Inside,85.0,IR1,0,50,RL,0.0,None,Shed,700,10,Mitchel
7,train,307000.0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,10084,Inside,75.0,Reg,0,20,RL,186.0,Stone,,0,8,Somerst
8,train,200000.0,GasA,Ex,2Story,1,TA,Lvl,Gtl,10382,Corner,,IR1,0,60,RL,240.0,Stone,Shed,350,11,NWAmes
9,train,129900.0,GasA,Gd,1.5Fin,2,TA,Lvl,Gtl,6120,Inside,51.0,Reg,0,50,RM,0.0,None,,0,4,OldTown
10,train,118000.0,GasA,Ex,1.5Unf,2,TA,Lvl,Gtl,7420,Corner,50.0,Reg,0,190,RL,0.0,None,,0,1,BrkSide
11,train,129500.0,GasA,Ex,1Story,1,TA,Lvl,Gtl,11200,Inside,70.0,Reg,0,20,RL,0.0,None,,0,2,Sawyer
12,train,345000.0,GasA,Ex,2Story,1,Ex,Lvl,Gtl,11924,Inside,85.0,IR1,0,60,RL,286.0,Stone,,0,7,NridgHt
13,train,144000.0,GasA,TA,1Story,1,TA,Lvl,Gtl,12968,Inside,,IR2,0,20,RL,0.0,None,,0,9,Sawyer
14,train,279500.0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,10652,Inside,91.0,IR1,0,20,RL,306.0,Stone,,0,8,CollgCr
15,train,157000.0,GasA,TA,1Story,1,TA,Lvl,Gtl,10920,Corner,,IR1,0,20,RL,212.0,BrkFace,,0,5,NAmes
16,train,132000.0,GasA,Ex,1.5Unf,1,TA,Lvl,Gtl,6120,Corner,51.0,Reg,0,45,RM,0.0,None,,0,7,BrkSide
17,train,149000.0,GasA,Ex,1Story,1,TA,Lvl,Gtl,11241,CulDSac,,IR1,0,20,RL,180.0,BrkFace,Shed,700,3,NAmes
18,train,90000.0,GasA,TA,1Story,2,TA,Lvl,Gtl,10791,Inside,72.0,Reg,0,90,RL,0.0,None,Shed,500,10,Sawyer
19,train,159000.0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,13695,Inside,66.0,Reg,0,20,RL,0.0,None,,0,6,SawyerW
20,train,139000.0,GasA,TA,1Story,1,TA,Lvl,Gtl,7560,Inside,70.0,Reg,0,20,RL,0.0,None,,0,5,NAmes
21,train,325300.0,GasA,Ex,2Story,1,Gd,Lvl,Gtl,14215,Corner,101.0,IR1,0,60,RL,380.0,BrkFace,,0,11,NridgHt
22,train,139400.0,GasA,Ex,1.5Unf,1,Gd,Bnk,Gtl,7449,Inside,57.0,Reg,0,45,RM,0.0,None,,0,6,IDOTRR
23,train,230000.0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,9742,Inside,75.0,Reg,0,20,RL,281.0,BrkFace,,0,9,CollgCr
24,train,129900.0,GasA,TA,1Story,1,TA,Lvl,Gtl,4224,Inside,44.0,Reg,0,120,RM,0.0,None,,0,6,MeadowV
25,train,154000.0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,8246,Inside,,IR1,0,20,RL,0.0,None,,0,5,Sawyer
