Id,source,SalePrice,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical
1,train,208500.0,856,854,0,,3,1Fam,TA,No,706.0,0.0,GLQ,Unf,1.0,0.0,Gd,150.0,Y,Norm,Norm,SBrkr
2,train,181500.0,1262,0,0,,3,1Fam,TA,Gd,978.0,0.0,ALQ,Unf,0.0,1.0,Gd,284.0,Y,Feedr,Norm,SBrkr
3,train,223500.0,920,866,0,,3,1Fam,TA,Mn,486.0,0.0,GLQ,Unf,1.0,0.0,Gd,434.0,Y,Norm,Norm,SBrkr
4,train,140000.0,961,756,0,,3,1Fam,Gd,No,216.0,0.0,ALQ,Unf,1.0,0.0,TA,540.0,Y,Norm,Norm,SBrkr
5,train,250000.0,1145,1053,0,,4,1Fam,TA,Av,655.0,0.0,GLQ,Unf,1.0,0.0,Gd,490.0,Y,Norm,Norm,SBrkr
6,train,143000.0,796,566,320,,1,1Fam,TA,No,732.0,0.0,GLQ,Unf,1.0,0.0,Gd,64.0,Y,Norm,Norm,SBrkr
7,train,307000.0,1694,0,0,,3,1Fam,TA,Av,1369.0,0.0,GLQ,Unf,1.0,0.0,Ex,317.0,Y,Norm,Norm,SBrkr
8,train,200000.0,1107,983,0,,3,1Fam,TA,Mn,859.0,32.0,ALQ,BLQ,1.0,0.0,Gd,216.0,Y,PosN,Norm,SBrkr
9,train,129900.0,1022,752,0,,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,952.0,Y,Artery,Norm,FuseF
10,train,118000.0,1077,0,0,,2,2fmCon,TA,No,851.0,0.0,GLQ,Unf,1.0,0.0,TA,140.0,Y,Artery,Artery,SBrkr
11,train,129500.0,1040,0,0,,3,1Fam,TA,No,906.0,0.0,Rec,Unf,1.0,0.0,TA,134.0,Y,Norm,Norm,SBrkr
12,train,345000.0,1182,1142,0,,4,1Fam,TA,No,998.0,0.0,GLQ,Unf,1.0,0.0,Ex,177.0,Y,Norm,Norm,SBrkr
13,train,144000.0,912,0,0,,2,1Fam,TA,No,737.0,0.0,ALQ,Unf,1.0,0.0,TA,175.0,Y,Norm,Norm,SBrkr
14,train,279500.0,1494,0,0,,3,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1494.0,Y,Norm,Norm,SBrkr
15,train,157000.0,1253,0,0,,2,1Fam,TA,No,733.0,0.0,BLQ,Unf,1.0,0.0,TA,520.0,Y,Norm,Norm,SBrkr
16,train,132000.0,854,0,0,,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,832.0,Y,Norm,Norm,FuseA
17,train,149000.0,1004,0,0,,2,1Fam,TA,No,578.0,0.0,ALQ,Unf,1.0,0.0,TA,426.0,Y,Norm,Norm,SBrkr
18,train,90000.0,1296,0,0,,2,Duplex,,,0.0,0.0,,,0.0,0.0,,0.0,Y,Norm,Norm,SBrkr
19,train,159000.0,1114,0,0,,3,1Fam,TA,No,646.0,0.0,GLQ,Unf,1.0,0.0,TA,468.0,Y,RRAe,Norm,SBrkr
20,train,139000.0,1339,0,0,,3,1Fam,TA,No,504.0,0.0,LwQ,Unf,0.0,0.0,TA,525.0,Y,Norm,Norm,SBrkr
21,train,325300.0,1158,1218,0,,4,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1158.0,Y,Norm,Norm,SBrkr
22,train,139400.0,1108,0,0,Grvl,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,637.0,Y,Norm,Norm,FuseF
23,train,230000.0,1795,0,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1777.0,Y,Norm,Norm,SBrkr
24,train,129900.0,1060,0,0,,3,TwnhsE,TA,No,840.0,0.0,GLQ,Unf,1.0,0.0,Gd,200.0,Y,Norm,Norm,SBrkr
25,train,154000.0,1060,0,0,,3,1Fam,TA,Mn,188.0,668.0,Rec,ALQ,1.0,0.0,TA,204.0,Y,Norm,Norm,SBrkr
26,train,256300.0,1600,0,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1566.0,Y,Norm,Norm,SBrkr
27,train,134800.0,900,0,0,,3,1Fam,TA,Mn,234.0,486.0,BLQ,Rec,0.0,1.0,TA,180.0,Y,Norm,Norm,SBrkr
28,train,306000.0,1704,0,0,,3,1Fam,TA,No,1218.0,0.0,GLQ,Unf,1.0,0.0,Ex,486.0,Y,Norm,Norm,SBrkr
29,train,207500.0,1600,0,0,,2,1Fam,TA,Gd,1277.0,0.0,BLQ,Unf,1.0,0.0,TA,207.0,Y,Norm,Norm,SBrkr
30,train,68500.0,520,0,0,,1,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,520.0,N,Feedr,RRNn,SBrkr
31,train,40000.0,649,668,0,Pave,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,649.0,N,Feedr,Norm,SBrkr
32,train,149350.0,1228,0,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,1228.0,Y,Norm,Norm,SBrkr
33,train,179900.0,1234,0,0,,3,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1234.0,Y,Norm,Norm,SBrkr
34,train,165500.0,1700,0,0,,4,1Fam,TA,No,1018.0,0.0,Rec,Unf,0.0,1.0,TA,380.0,Y,Norm,Norm,SBrkr
35,train,277500.0,1561,0,0,,2,TwnhsE,TA,No,1153.0,0.0,GLQ,Unf,1.0,0.0,Ex,408.0,Y,Norm,Norm,SBrkr
36,train,309000.0,1132,1320,0,,4,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1117.0,Y,Norm,Norm,SBrkr
37,train,145000.0,1097,0,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1097.0,Y,Norm,Norm,SBrkr
38,train,153000.0,1297,0,0,,3,1Fam,TA,No,1213.0,0.0,Rec,Unf,0.0,1.0,TA,84.0,Y,Norm,Norm,SBrkr
39,train,109000.0,1057,0,0,,3,1Fam,TA,No,731.0,0.0,GLQ,Unf,1.0,0.0,TA,326.0,Y,Norm,Norm,SBrkr
40,train,82000.0,1152,0,0,,2,Duplex,,,0.0,0.0,,,0.0,0.0,,0.0,N,Norm,Norm,FuseP
41,train,160000.0,1324,0,0,,3,1Fam,TA,No,643.0,0.0,Rec,Unf,0.0,0.0,TA,445.0,Y,Norm,Norm,SBrkr
42,train,170000.0,1328,0,0,,2,1Fam,TA,Gd,967.0,0.0,BLQ,Unf,0.0,1.0,TA,383.0,Y,Norm,Norm,SBrkr
43,train,144000.0,884,0,0,,2,1Fam,TA,Av,747.0,93.0,ALQ,LwQ,1.0,0.0,Gd,0.0,Y,Norm,Norm,SBrkr
44,train,130250.0,938,0,0,,3,1Fam,TA,Av,280.0,491.0,LwQ,BLQ,1.0,0.0,Gd,167.0,Y,Norm,Norm,SBrkr
45,train,141000.0,1150,0,0,,3,1Fam,TA,No,179.0,506.0,ALQ,BLQ,1.0,0.0,TA,465.0,Y,Norm,Norm,FuseA
46,train,319900.0,1752,0,0,,2,TwnhsE,TA,No,456.0,0.0,GLQ,Unf,1.0,0.0,Ex,1296.0,Y,Norm,Norm,SBrkr
47,train,239686.0,1518,631,0,,1,1Fam,TA,No,1351.0,0.0,GLQ,Unf,1.0,0.0,Ex,83.0,Y,Norm,Norm,SBrkr
48,train,249700.0,1656,0,0,,3,1Fam,TA,Av,24.0,0.0,GLQ,Unf,0.0,0.0,Gd,1632.0,Y,Norm,Norm,SBrkr
49,train,113000.0,736,716,0,,2,2fmCon,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,736.0,Y,Norm,Norm,SBrkr
50,train,127000.0,955,0,0,,3,1Fam,TA,No,763.0,0.0,BLQ,Unf,1.0,0.0,TA,192.0,Y,Norm,Norm,SBrkr
51,train,177000.0,794,676,0,,3,1Fam,TA,Av,182.0,0.0,GLQ,Unf,0.0,1.0,Gd,612.0,Y,Norm,Norm,SBrkr
52,train,114500.0,816,0,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,816.0,Y,Norm,Norm,SBrkr
53,train,110000.0,816,0,0,,2,Duplex,TA,Gd,104.0,712.0,LwQ,GLQ,1.0,0.0,Gd,0.0,N,RRNn,Norm,SBrkr
54,train,385000.0,1842,0,0,,0,1Fam,TA,Gd,1810.0,0.0,GLQ,Unf,2.0,0.0,Ex,32.0,Y,Norm,Norm,SBrkr
55,train,130000.0,1360,0,0,,3,1Fam,TA,No,384.0,0.0,ALQ,Unf,0.0,0.0,TA,0.0,Y,Norm,Norm,SBrkr
