Id,source,SalePrice,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath
1,train,208500.0,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,548.0,2.0,TA,RFn,TA,Attchd,2003.0,1710,1
2,train,181500.0,0,TA,TA,MetalSd,MetalSd,,TA,1,CBlock,2,Typ,460.0,2.0,TA,RFn,TA,Attchd,1976.0,1262,0
3,train,223500.0,0,TA,Gd,VinylSd,VinylSd,,TA,1,PConc,2,Typ,608.0,2.0,TA,RFn,TA,Attchd,2001.0,1786,1
4,train,140000.0,272,TA,TA,Wd Sdng,Wd Shng,,Gd,1,BrkTil,1,Typ,642.0,3.0,TA,Unf,TA,Detchd,1998.0,1717,0
5,train,250000.0,0,TA,Gd,VinylSd,VinylSd,,TA,1,PConc,2,Typ,836.0,3.0,TA,RFn,TA,Attchd,2000.0,2198,1
6,train,143000.0,0,TA,TA,VinylSd,VinylSd,MnPrv,,0,Wood,1,Typ,480.0,2.0,TA,Unf,TA,Attchd,1993.0,1362,1
7,train,307000.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,636.0,2.0,TA,RFn,TA,Attchd,2004.0,1694,0
8,train,200000.0,228,TA,TA,HdBoard,HdBoard,,TA,2,CBlock,2,Typ,484.0,2.0,TA,RFn,TA,Attchd,1973.0,2090,1
9,train,129900.0,205,TA,TA,BrkFace,Wd Shng,,TA,2,BrkTil,2,Min1,468.0,2.0,TA,Unf,Fa,Detchd,1931.0,1774,0
10,train,118000.0,0,TA,TA,MetalSd,MetalSd,,TA,2,BrkTil,1,Typ,205.0,1.0,TA,RFn,Gd,Attchd,1939.0,1077,0
11,train,129500.0,0,TA,TA,HdBoard,HdBoard,,,0,CBlock,1,Typ,384.0,1.0,TA,Unf,TA,Detchd,1965.0,1040,0
12,train,345000.0,0,TA,Ex,WdShing,Wd Shng,,Gd,2,PConc,3,Typ,736.0,3.0,TA,Fin,TA,BuiltIn,2005.0,2324,0
13,train,144000.0,0,TA,TA,HdBoard,Plywood,,,0,CBlock,1,Typ,352.0,1.0,TA,Unf,TA,Detchd,1962.0,912,0
14,train,279500.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,840.0,3.0,TA,RFn,TA,Attchd,2006.0,1494,0
15,train,157000.0,176,TA,TA,MetalSd,MetalSd,GdWo,Fa,1,CBlock,1,Typ,352.0,1.0,TA,RFn,TA,Attchd,1960.0,1253,1
16,train,132000.0,0,TA,TA,Wd Sdng,Wd Sdng,GdPrv,,0,BrkTil,1,Typ,576.0,2.0,TA,Unf,TA,Detchd,1991.0,854,0
17,train,149000.0,0,TA,TA,Wd Sdng,Wd Sdng,,TA,1,CBlock,1,Typ,480.0,2.0,TA,Fin,TA,Attchd,1970.0,1004,0
18,train,90000.0,0,TA,TA,MetalSd,MetalSd,,,0,Slab,2,Typ,516.0,2.0,TA,Unf,TA,CarPort,1967.0,1296,0
19,train,159000.0,0,TA,TA,VinylSd,VinylSd,,,0,PConc,1,Typ,576.0,2.0,TA,Unf,TA,Detchd,2004.0,1114,1
20,train,139000.0,0,TA,TA,BrkFace,Plywood,MnPrv,,0,CBlock,1,Min1,294.0,1.0,TA,Unf,TA,Attchd,1958.0,1339,0
21,train,325300.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,3,Typ,853.0,3.0,TA,RFn,TA,BuiltIn,2005.0,2376,1
22,train,139400.0,205,TA,TA,Wd Sdng,Wd Sdng,GdPrv,Gd,1,PConc,1,Typ,280.0,1.0,TA,Unf,TA,Attchd,1930.0,1108,0
23,train,230000.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,534.0,2.0,TA,RFn,TA,Attchd,2002.0,1795,0
24,train,129900.0,0,TA,TA,CemntBd,CmentBd,,TA,1,PConc,1,Typ,572.0,2.0,TA,Unf,TA,Attchd,1976.0,1060,0
25,train,154000.0,0,Gd,TA,Plywood,Plywood,MnPrv,TA,1,CBlock,1,Typ,270.0,1.0,TA,Unf,TA,Attchd,1968.0,1060,0
26,train,256300.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,890.0,3.0,TA,RFn,TA,Attchd,2007.0,1600,0
27,train,134800.0,0,TA,TA,Wd Sdng,Wd Sdng,,,0,CBlock,1,Typ,576.0,2.0,TA,Unf,TA,Detchd,2005.0,900,0
28,train,306000.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,772.0,3.0,TA,RFn,TA,Attchd,2008.0,1704,0
29,train,207500.0,0,TA,TA,MetalSd,MetalSd,,Gd,2,CBlock,1,Typ,319.0,1.0,TA,RFn,TA,Attchd,1957.0,1600,0
30,train,68500.0,87,TA,TA,MetalSd,MetalSd,,,0,BrkTil,1,Typ,240.0,1.0,TA,Unf,Fa,Detchd,1920.0,520,0
31,train,40000.0,172,Fa,TA,BrkFace,BrkFace,MnPrv,,0,BrkTil,1,Typ,250.0,1.0,Fa,Unf,TA,Detchd,1920.0,1317,0
32,train,149350.0,0,TA,TA,HdBoard,HdBoard,MnPrv,,0,CBlock,1,Typ,271.0,1.0,TA,Unf,TA,Attchd,1966.0,1228,1
33,train,179900.0,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,484.0,2.0,TA,RFn,TA,Attchd,2007.0,1234,0
34,train,165500.0,0,TA,TA,BrkFace,BrkFace,,Gd,1,CBlock,1,Typ,447.0,2.0,TA,RFn,TA,Attchd,1959.0,1700,1
35,train,277500.0,0,TA,Ex,MetalSd,MetalSd,,Gd,1,PConc,2,Typ,556.0,2.0,TA,Fin,TA,Attchd,2005.0,1561,0
36,train,309000.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,3,Typ,691.0,3.0,TA,Fin,TA,BuiltIn,2004.0,2452,1
37,train,145000.0,0,TA,TA,VinylSd,VinylSd,,,0,PConc,1,Typ,672.0,2.0,TA,Unf,TA,Attchd,1995.0,1097,1
38,train,153000.0,0,TA,TA,Wd Sdng,Wd Sdng,,TA,1,CBlock,1,Typ,498.0,2.0,TA,Fin,TA,Attchd,1954.0,1297,0
39,train,109000.0,0,Gd,TA,VinylSd,VinylSd,,,0,CBlock,1,Typ,246.0,1.0,TA,Unf,TA,Detchd,1953.0,1057,0
